kc/mc,nr,mr,gflops,time (seconds),util, A block (KB), B Sliver (KB)
96,4,4,9.118363,6.358823,0.172696,72/256.000000,6/32.000000
96,8,4,9.183085,6.314006,0.173922,72/256.000000,12/32.000000
96,16,4,8.862812,6.542174,0.167856,72/256.000000,24/32.000000
96,4,8,14.113767,4.108192,0.267306,72/256.000000,6/32.000000
96,8,8,13.891807,4.173831,0.263102,72/256.000000,12/32.000000
96,16,8,13.106797,4.423816,0.248235,72/256.000000,24/32.000000
96,4,16,19.538672,2.967554,0.370051,72/256.000000,6/32.000000
96,8,16,20.473733,2.832022,0.387760,72/256.000000,12/32.000000
96,16,16,19.473799,2.977440,0.368822,72/256.000000,24/32.000000
96,4,32,27.213042,2.130672,0.515399,72/256.000000,6/32.000000
96,8,32,28.170793,2.058233,0.533538,72/256.000000,12/32.000000
96,16,32,27.352926,2.119775,0.518048,72/256.000000,24/32.000000
96,4,96,27.671715,2.095355,0.524086,72/256.000000,6/32.000000
96,8,96,29.557469,1.961672,0.559801,72/256.000000,12/32.000000
96,16,96,28.637255,2.024707,0.542372,72/256.000000,24/32.000000
102,4,4,6.491791,8.931597,0.122951,81/256.000000,6/32.000000
102,8,4,6.814744,8.508325,0.129067,81/256.000000,12/32.000000
102,16,4,6.946697,8.346708,0.131566,81/256.000000,25/32.000000
102,4,8,10.211107,5.678332,0.193392,81/256.000000,6/32.000000
102,8,8,9.211838,6.294299,0.174467,81/256.000000,12/32.000000
102,16,8,9.950685,5.826941,0.188460,81/256.000000,25/32.000000
102,4,16,13.122760,4.418435,0.248537,81/256.000000,6/32.000000
102,8,16,12.997422,4.461043,0.246163,81/256.000000,12/32.000000
102,16,16,12.708219,4.562564,0.240686,81/256.000000,25/32.000000
102,4,32,18.536095,3.128062,0.351062,81/256.000000,6/32.000000
102,8,32,18.437468,3.144795,0.349194,81/256.000000,12/32.000000
102,16,32,17.979978,3.224813,0.340530,81/256.000000,25/32.000000
102,4,96,21.968537,2.639323,0.416071,81/256.000000,6/32.000000
102,8,96,22.193387,2.612583,0.420329,81/256.000000,12/32.000000
102,16,96,21.934137,2.643462,0.415419,81/256.000000,25/32.000000
109,4,4,6.139585,9.443970,0.116280,92/256.000000,6/32.000000
109,8,4,6.138851,9.445099,0.116266,92/256.000000,13/32.000000
109,16,4,6.393033,9.069570,0.121080,92/256.000000,27/32.000000
109,4,8,9.766490,5.936837,0.184971,92/256.000000,6/32.000000
109,8,8,9.454950,6.132455,0.179071,92/256.000000,13/32.000000
109,16,8,8.453992,6.858542,0.160113,92/256.000000,27/32.000000
109,4,16,12.037826,4.816655,0.227989,92/256.000000,6/32.000000
109,8,16,12.036745,4.817088,0.227969,92/256.000000,13/32.000000
109,16,16,11.201514,5.176270,0.212150,92/256.000000,27/32.000000
109,4,32,15.965614,3.631684,0.302379,92/256.000000,6/32.000000
109,8,32,16.086353,3.604425,0.304666,92/256.000000,13/32.000000
109,16,32,14.563483,3.981332,0.275824,92/256.000000,27/32.000000
109,4,96,19.450843,2.980953,0.368387,92/256.000000,6/32.000000
109,8,96,20.739940,2.795671,0.392802,92/256.000000,13/32.000000
109,16,96,18.207624,3.184493,0.344841,92/256.000000,27/32.000000
128,4,4,6.447243,8.993310,0.122107,128/256.000000,8/32.000000
128,8,4,9.109590,6.364947,0.172530,128/256.000000,16/32.000000
128,16,4,9.028578,6.422058,0.170996,128/256.000000,32/32.000000
128,4,8,14.899565,3.891527,0.282189,128/256.000000,8/32.000000
128,8,8,14.385648,4.030549,0.272455,128/256.000000,16/32.000000
128,16,8,14.035691,4.131044,0.265827,128/256.000000,32/32.000000
128,4,16,22.861558,2.536225,0.432984,128/256.000000,8/32.000000
128,8,16,22.815884,2.541302,0.432119,128/256.000000,16/32.000000
128,16,16,22.623580,2.562904,0.428477,128/256.000000,32/32.000000
128,4,32,33.739337,1.718530,0.639003,128/256.000000,8/32.000000
128,8,32,33.297087,1.741355,0.630627,128/256.000000,16/32.000000
128,16,32,33.155953,1.748768,0.627954,128/256.000000,32/32.000000
128,4,96,19.993524,2.900042,0.378665,128/256.000000,8/32.000000
128,8,96,19.426701,2.984658,0.367930,128/256.000000,16/32.000000
128,16,96,19.366223,2.993979,0.366785,128/256.000000,32/32.000000
153,4,4,6.084653,9.529230,0.115240,182/256.000000,9/32.000000
153,8,4,6.013078,9.642658,0.113884,182/256.000000,19/32.000000
153,16,4,6.027242,9.619999,0.114152,182/256.000000,38/32.000000
153,4,8,8.091260,7.166011,0.153244,182/256.000000,9/32.000000
153,8,8,8.760331,6.618706,0.165915,182/256.000000,19/32.000000
153,16,8,8.847304,6.553642,0.167563,182/256.000000,38/32.000000
153,4,16,11.558259,5.016505,0.218906,182/256.000000,9/32.000000
153,8,16,11.495476,5.043902,0.217717,182/256.000000,19/32.000000
153,16,16,11.666844,4.969815,0.220963,182/256.000000,38/32.000000
153,4,32,15.971368,3.630375,0.302488,182/256.000000,9/32.000000
153,8,32,14.470218,4.006993,0.274057,182/256.000000,19/32.000000
153,16,32,14.536857,3.988624,0.275319,182/256.000000,38/32.000000
153,4,96,11.432894,5.071512,0.216532,182/256.000000,9/32.000000
153,8,96,12.242548,4.736110,0.231866,182/256.000000,19/32.000000
153,16,96,12.730740,4.554492,0.241113,182/256.000000,38/32.000000
