kc/mc,nr,mr,gflops,time (seconds),util
168,2,2,17.038628,1.969315,0.645403
168,4,2,21.817615,1.537951,0.826425
168,8,2,24.319485,1.379734,0.921193
168,2,4,13.308657,2.521248,0.504116
168,4,4,16.399118,2.046112,0.621179
168,8,4,13.971908,2.401564,0.529239
168,2,8,10.236248,3.278001,0.387737
168,4,8,10.221326,3.282787,0.387171
168,8,8,9.958064,3.369574,0.377199
336,2,2,26.400000,0.979542,1.000000
336,4,2,26.400000,0.907842,1.000000
336,8,2,26.400000,0.860207,1.000000
336,2,4,26.400000,1.238725,1.000000
336,4,4,26.252637,1.278136,0.994418
336,8,4,26.400000,1.196236,1.000000
336,2,8,17.625005,1.903797,0.667614
336,4,8,19.229213,1.744972,0.728379
336,8,8,20.290480,1.653703,0.768579
672,2,2,26.400000,0.523271,1.000000
672,4,2,26.400000,0.428437,1.000000
672,8,2,26.400000,0.460621,1.000000
672,2,4,26.400000,0.568861,1.000000
672,4,4,26.400000,0.614883,1.000000
672,8,4,26.400000,0.599769,1.000000
672,2,8,26.400000,1.056132,1.000000
672,4,8,26.400000,1.067939,1.000000
672,8,8,26.400000,0.915696,1.000000
